ioc,ioc_type,verdict,vt_malicious,vt_total,otx_pulses,providers,first_host,source,checked_at
SHIELDBASE\vibranium,account,unknown,,,,,,ES-bundle,
bit.ly,domain,malicious,1,91,0,otx|virustotal,,ti-report+ES,2026-06-10T18:39:55.186656+00:00
0d830142-931a-4791-8a65-51bb06d321ba,dpapi_masterkey,unknown,,,,,,ES-bundle,
mhill.shield@yahoo.com,email,unknown,,,,,,ES-bundle,
At1.job,filename,unknown,,,,,,ES-bundle,
At2.job,filename,unknown,,,,,,ES-bundle,
avbypass.exe,filename,unknown,,,,,,ES-bundle,
C:\Windows\PSEXESVC.EXE,filepath,unknown,,,,,,ES-bundle,
C:\Windows\System32\dllhost\svchost.exe,filepath,unknown,,,,,win7-64-nfury,ES-bundle,
"38.8766N,77.003W",geolocation,unknown,,,,,,ES-bundle,
f55bbffa8ebc6a99e6cbf535420484d134edcb1,hash,unknown,,,,otx|virustotal,,ti-report+ES,2026-06-10T18:39:55.186656+00:00
12.190.135.235,ip,clean,0,91,0,otx|virustotal,,ti-report+ES,2026-06-10T18:39:55.186656+00:00
173.173.88.154,ip,clean,0,91,0,otx|virustotal,,ti-report+ES,2026-06-10T18:39:55.186656+00:00
199.73.28.114,ip,malicious,1,91,0,otx|virustotal,,ti-report+ES,2026-06-10T18:39:55.186656+00:00
72.241.5.37,ip,clean,0,91,0,otx|virustotal,,ti-report+ES,2026-06-10T18:39:55.186656+00:00
96.255.98.154,ip,clean,0,91,0,otx|virustotal,,ti-report+ES,2026-06-10T18:39:55.186656+00:00
<INTERNAL-IP>,ipv4,unknown,,,,,,ES-bundle,
300c9b2ddc3a0a44d95e25ef89c6305e,md5,unknown,0,,0,otx|virustotal,win2008R2-controller,ti-report+ES,2026-06-10T18:39:55.186656+00:00
3a33c416f0853f2c148a173f90363104,md5,unknown,0,,0,otx|virustotal,win2008R2-controller,ti-report+ES,2026-06-10T18:39:55.186656+00:00
4c3f5e9fe4c8fc2f99d47cbb25d7d193,md5,unknown,0,,0,otx|virustotal,win7-64-nfury,ti-report+ES,2026-06-10T18:39:55.186656+00:00
52aafd69654c07446983ada1256fc7a9,md5,unknown,0,,0,otx|virustotal,xp-tdungan,ti-report+ES,2026-06-10T18:39:55.186656+00:00
60b778a12a4b7ad5ed5b28eb6e869b3f,md5,unknown,0,,0,otx|virustotal,xp-tdungan,ti-report+ES,2026-06-10T18:39:55.186656+00:00
6d73be3e921bcd659f1b54e9aae42b41,md5,unknown,0,,0,otx|virustotal,win2008R2-controller,ti-report+ES,2026-06-10T18:39:55.186656+00:00
a98416e60bb81f57cb99125ec41bfe4c,md5,unknown,0,,0,otx|virustotal,win7-64-nfury,ti-report+ES,2026-06-10T18:39:55.186656+00:00
e381e006d8b42042a3253c7e2f07ffb8,md5,unknown,0,,0,otx|virustotal,win7-32-nromanoff,ti-report+ES,2026-06-10T18:39:55.186656+00:00
f60730a4a66673047777f5728467d401,md5,unknown,0,,0,otx|virustotal,xp-tdungan,ti-report+ES,2026-06-10T18:39:55.186656+00:00
HKCU\Software\Sysinternals\PsExec\EulaAccepted,regkey,unknown,,,,,,ES-bundle,
HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run\svchost,regkey,unknown,,,,,,ES-bundle,
HKLM\SYSTEM\CurrentControlSet\Services\Netman\domain,regkey,unknown,,,,,,ES-bundle,
423e404adec31b1ccda65983efe380bc43c654f7,sha1,unknown,0,,0,otx|virustotal,win2008R2-controller,ti-report+ES,2026-06-10T18:39:55.186656+00:00
5ee219f99e69db4739631da89c0dd5a8164477e2,sha1,unknown,0,,0,otx|virustotal,xp-tdungan,ti-report+ES,2026-06-10T18:39:55.186656+00:00
7739e5596c113b7a522f367c89a425063618c5cf,sha1,unknown,0,,0,otx|virustotal,win7-32-nromanoff,ti-report+ES,2026-06-10T18:39:55.186656+00:00
829553fd43bbd6d69c85d8285b83410ac679b066,sha1,unknown,0,,0,otx|virustotal,win7-64-nfury,ti-report+ES,2026-06-10T18:39:55.186656+00:00
c1f061a70d88583316d4b378dd37043dd5480c8d,sha1,unknown,0,,0,otx|virustotal,win7-32-nromanoff,ti-report+ES,2026-06-10T18:39:55.186656+00:00
0e27946826ddcc169fdded411078228f0fe32cafff411c7e7bf8ec4a5699050e,sha256,clean,0,71,0,otx|virustotal,win2008R2-controller,ti-report+ES,2026-06-10T18:39:55.186656+00:00
0e2f301f54b226402379e407097afd9d7db43df06d1b54a95c2a8c0ef38810b2,sha256,clean,0,55,0,otx|virustotal,win7-64-nfury,ti-report+ES,2026-06-10T18:39:55.186656+00:00
1146837c580633935858e28b7630f8a1b6187570ee8a639d181841ba2da50b1c,sha256,clean,0,71,0,otx|virustotal,win7-32-nromanoff,ti-report+ES,2026-06-10T18:39:55.186656+00:00
1a529d41037e85cc97acdb3809cd2c0b67eaefe27e195587718f69f3bbc4c04e,sha256,clean,0,56,0,otx|virustotal,win2008R2-controller,ti-report+ES,2026-06-10T18:39:55.186656+00:00
241ba947ff001b6d62b18a93fbde92d6aecb65fe5989785a842e3009a87aeb1b,sha256,clean,0,53,0,otx|virustotal,win7-64-nfury,ti-report+ES,2026-06-10T18:39:55.186656+00:00
2f994bd67042abba7e0c1f69a39d10418dca773a85180be930df2f498d65459e,sha256,unknown,0,,0,otx|virustotal,win2008R2-controller,ti-report+ES,2026-06-10T18:39:55.186656+00:00
37f4e340ca5a87ebb06739999724efa1e1a97ea6332e0dae483e780c90d6193a,sha256,clean,0,57,0,otx|virustotal,win2008R2-controller,ti-report+ES,2026-06-10T18:39:55.186656+00:00
42f33a83da0cecb9ddf53741423895221fca55060ade80e47ecd2a0ea2fe10c3,sha256,malicious,1,57,0,otx|virustotal,win2008R2-controller,ti-report+ES,2026-06-10T18:39:55.186656+00:00
4494a74673771cb708d73e99bd3ed5b996e58539821709df3a8795ea1966469d,sha256,clean,0,57,0,otx|virustotal,win2008R2-controller,ti-report+ES,2026-06-10T18:39:55.186656+00:00
4633038868ab6f8aa5f342e799e28e646c6e353b339fe4a7aeb9900715e922e0,sha256,unknown,0,,0,otx|virustotal,win7-64-nfury,ti-report+ES,2026-06-10T18:39:55.186656+00:00
