in_zip_name,original_path,host,expected_hash,carved_sha256,verified,size_bytes
01_controller_usboesrv.exe,"/Program Files/USB over Ethernet/usboesrv.exe",controller,5420d06d802ce015301578347c529405f7015a59a47097af26616a8ab57b39ec,5420d06d802ce015301578347c529405f7015a59a47097af26616a8ab57b39ec,Y,571392
02_controller_usboesrv.exe,"/Windows/System32/usboesrv.exe",controller,5420d06d802ce015301578347c529405f7015a59a47097af26616a8ab57b39ec,5420d06d802ce015301578347c529405f7015a59a47097af26616a8ab57b39ec,Y,571392
03_win7-32-nromanoff_a.exe,"/Users/vibranium/AppData/Local/Temp/a.exe",win7-32-nromanoff,598e53b69c71643db559c197db757363c48a30bb26b6486db2153bd417701dec,598e53b69c71643db559c197db757363c48a30bb26b6486db2153bd417701dec,Y,9216
04_win7-32-nromanoff_a.exe,"/Windows/Temp/a.exe",win7-32-nromanoff,598e53b69c71643db559c197db757363c48a30bb26b6486db2153bd417701dec,598e53b69c71643db559c197db757363c48a30bb26b6486db2153bd417701dec,Y,9216
05_win7-64-nfury_a.exe,"/Users/vibranium/AppData/Local/Temp/a.exe",win7-64-nfury,598e53b69c71643db559c197db757363c48a30bb26b6486db2153bd417701dec,598e53b69c71643db559c197db757363c48a30bb26b6486db2153bd417701dec,Y,9216
06_win7-64-nfury_a.exe,"/Windows/Temp/a.exe",win7-64-nfury,598e53b69c71643db559c197db757363c48a30bb26b6486db2153bd417701dec,598e53b69c71643db559c197db757363c48a30bb26b6486db2153bd417701dec,Y,9216
07_xp-tdungan_a.exe,"/Documents and Settings/RSydow/Local Settings/Temp/a.exe",xp-tdungan,598e53b69c71643db559c197db757363c48a30bb26b6486db2153bd417701dec,598e53b69c71643db559c197db757363c48a30bb26b6486db2153bd417701dec,Y,9216
08_xp-tdungan_a.exe,"/Documents and Settings/SRL-Helpdesk/Local Settings/Temp/a.exe",xp-tdungan,598e53b69c71643db559c197db757363c48a30bb26b6486db2153bd417701dec,598e53b69c71643db559c197db757363c48a30bb26b6486db2153bd417701dec,Y,9216
09_xp-tdungan_a.exe,"/Documents and Settings/tdungan/Local Settings/Temp/a.exe",xp-tdungan,598e53b69c71643db559c197db757363c48a30bb26b6486db2153bd417701dec,598e53b69c71643db559c197db757363c48a30bb26b6486db2153bd417701dec,Y,9216
10_xp-tdungan_a.exe,"/Documents and Settings/vibranium/Local Settings/Temp/a.exe",xp-tdungan,598e53b69c71643db559c197db757363c48a30bb26b6486db2153bd417701dec,598e53b69c71643db559c197db757363c48a30bb26b6486db2153bd417701dec,Y,9216
11_win7-32-nromanoff_spinlock.exe,"/Windows/System32/spinlock.exe",win7-32-nromanoff,6eef2381040cd38ce5974ef954121e136bd93ec4039d49925438c92ef5f3dead,6eef2381040cd38ce5974ef954121e136bd93ec4039d49925438c92ef5f3dead,Y,2271885
12_win7-64-nfury_spinlock.exe,"/Windows/System32/spinlock.exe",win7-64-nfury,6eef2381040cd38ce5974ef954121e136bd93ec4039d49925438c92ef5f3dead,6eef2381040cd38ce5974ef954121e136bd93ec4039d49925438c92ef5f3dead,Y,2271885
13_xp-tdungan_spinlock.exe,"/WINDOWS/system32/spinlock.exe",xp-tdungan,6eef2381040cd38ce5974ef954121e136bd93ec4039d49925438c92ef5f3dead,6eef2381040cd38ce5974ef954121e136bd93ec4039d49925438c92ef5f3dead,Y,2271885
14_win7-32-nromanoff_svchost.exe,"/Windows/System32/dllhost/svchost.exe",win7-32-nromanoff,f293fdb96e6ed7e4ede7a173e5e47dd69a30edc6216e550787e7481d2df43cef,f293fdb96e6ed7e4ede7a173e5e47dd69a30edc6216e550787e7481d2df43cef,Y,102400
15_win7-64-nfury_svchost.exe,"/$Recycle.Bin/S-1-5-21-2036804247-3058324640-2116585241-1673/$R6SODDB/svchost.exe",win7-64-nfury,f293fdb96e6ed7e4ede7a173e5e47dd69a30edc6216e550787e7481d2df43cef,f293fdb96e6ed7e4ede7a173e5e47dd69a30edc6216e550787e7481d2df43cef,Y,102400
16_xp-tdungan_svchost.exe,"/WINDOWS/system32/dllhost/svchost.exe",xp-tdungan,f293fdb96e6ed7e4ede7a173e5e47dd69a30edc6216e550787e7481d2df43cef,f293fdb96e6ed7e4ede7a173e5e47dd69a30edc6216e550787e7481d2df43cef,Y,102400
17_win2008R2-controller_malfind_pid23476.bin,"memory:/cases/SRL-2015/win2008R2-controller-memory/win2008R2-controller-memory-raw.001#pid23476 VAD@0x310000",win2008R2-controller,42f33a83da0cecb9ddf53741423895221fca55060ade80e47ecd2a0ea2fe10c3,42f33a83da0cecb9ddf53741423895221fca55060ade80e47ecd2a0ea2fe10c3,Y,8192
18_win2008R2-controller_malfind_pid26340.bin,"memory:/cases/SRL-2015/win2008R2-controller-memory/win2008R2-controller-memory-raw.001#pid26340 VAD@0x20000",win2008R2-controller,73cb9ad706455f0a115338784f5bf9c24e7ea22dcfd69f93dd9b3f375fe00231,73cb9ad706455f0a115338784f5bf9c24e7ea22dcfd69f93dd9b3f375fe00231,Y,8192
19_win2008R2-controller_malfind_pid145896.bin,"memory:/cases/SRL-2015/win2008R2-controller-memory/win2008R2-controller-memory-raw.001#pid145896 VAD@0x1c0000",win2008R2-controller,e855864aba934e143745fe6e6ba2a08a75bdbe5a32ff0e27e00a852d00d264d7,e855864aba934e143745fe6e6ba2a08a75bdbe5a32ff0e27e00a852d00d264d7,Y,8192
20_win2008R2-controller_malfind_pid151132_femc.bin,"memory:/cases/SRL-2015/win2008R2-controller-memory/win2008R2-controller-memory-raw.001#pid151132 VAD@0x20000 (femc.exe)",win2008R2-controller,dd8ac01d1d5e8865592443dc07faf1034fcc515f6522b2918ec7dc8bfe203ebd,dd8ac01d1d5e8865592443dc07faf1034fcc515f6522b2918ec7dc8bfe203ebd,Y,8192
21_win7-64-nfury_malfind_pid328.bin,"memory:/cases/SRL-2015/win7-64-nfury-memory/win7-64-nfury-memory-raw.001#pid328 VAD@0x230000",win7-64-nfury,a8f9a2103327bbc2bda06ff2db02ffe628978b115139f2b06d26a69dd79233f3,a8f9a2103327bbc2bda06ff2db02ffe628978b115139f2b06d26a69dd79233f3,Y,8192
