path,name,host,sha256,signer,signed,verdict,suspect
femc.exe,femc.exe,win2008R2-controller,dd8ac01d1d5e8865592443dc07faf1034fcc515f6522b2918ec7dc8bfe203ebd,,,malicious,True
SMSvcHost.exe,SMSvcHost.exe,win2008R2-controller,58ef8b107ff1638eaf8a405309c1610988524f597b53a40d621b5fa8a3f24bcd,,,clean,False
SMSvcHost.exe,SMSvcHost.exe,win2008R2-controller,62d58d4308c8fa019963ea5338834c57e6b381dd5a9589dcdbe345424e8577b4,,,clean,False
SMSvcHost.exe,SMSvcHost.exe,win2008R2-controller,9c852b7f36af7feeb8d04d198657f799cada0f84e31ff487afbd0997156fff8b,,,clean,False
SMSvcHost.exe,SMSvcHost.exe,win2008R2-controller,b295e1cadedd62927f3ebb6d1d1be92ce3600e79ea5928e8e551eb9bf1f06e4d,,,clean,False
explorer.exe,explorer.exe,win2008R2-controller,0e27946826ddcc169fdded411078228f0fe32cafff411c7e7bf8ec4a5699050e,,,clean,False
explorer.exe,explorer.exe,win2008R2-controller,9a7fd9f928c55f6b1ff5141687cf4e91e359319f40632a962bf5268d33eedbc8,,,clean,False
explorer.exe,explorer.exe,win2008R2-controller,d2bce24ef9d30b4e8514b30eff71c0d42039737ed31266984620f729eddc2018,,,clean,False
mfevtps.exe,mfevtps.exe,win2008R2-controller,37f4e340ca5a87ebb06739999724efa1e1a97ea6332e0dae483e780c90d6193a,,,clean,False
mfevtps.exe,mfevtps.exe,win2008R2-controller,5e7d48fc77702b0649f2ade58d1d456ef021789c3d397842c3cccf3369191cd6,,,clean,False
w3wp.exe,w3wp.exe,win2008R2-controller,4494a74673771cb708d73e99bd3ed5b996e58539821709df3a8795ea1966469d,,,clean,False
w3wp.exe,w3wp.exe,win2008R2-controller,5114109b3be679307640e9fa28340774e5e44c7f14ebcee1689fbc97a30814c5,,,clean,False
/tmp/srl2015_fs_nromanoff/Windows/oSCMpGpk.exe,oSCMpGpk.exe,win7-32-nromanoff,6a55b0c3ab5f557dfb7a3f8bd616ede1bd9b93198590fc9d52aa19c1154388c5,,,unknown,False
/tmp/srl2015_fs_nromanoff/Windows/oSCMpGpk.exe,oSCMpGpk.exe,win7-32-nromanoff,970fc89629fbfc9884fe19b29c608168cf6b57c83acce9886510d790751714e4,,,unknown,False
LogonUI.exe,LogonUI.exe,win7-64-nfury,0e2f301f54b226402379e407097afd9d7db43df06d1b54a95c2a8c0ef38810b2,,,clean,False
mfevtps.exe,mfevtps.exe,win7-64-nfury,72811c387659ad2f6489a23d9710ee4aff3a113ca1b17a662e273e4b2d4bbdb9,,,clean,False
mfevtps.exe,mfevtps.exe,win7-64-nfury,bb552cf6eae814c5debaf080432c633cfd9dd16439828cc65029ba3b131af9d0,,,clean,False
